,State
0,4
1,5
2,2
3,5
4,6
5,6
6,6
7,6
8,1
9,6
10,6
11,4
12,6
13,6
14,6
15,5
16,2
17,6
18,6
19,6
20,2
21,5
22,4
23,4
24,4
25,4
26,1
27,6
28,6
29,6
30,6
31,2
32,1
33,6
34,2
35,6
36,2
37,6
38,6
39,2
40,4
41,4
42,1
43,5
44,3
45,4
46,6
47,4
48,5
49,5
50,5
51,4
52,2
53,4
54,6
55,2
56,6
57,2
58,2
59,5
60,6
61,4
62,1
63,4
64,1
65,4
66,2
67,1
68,2
69,6
70,6
71,6
72,4
73,2
74,3
75,6
76,2
77,6
78,6
79,6
80,6
81,6
82,6
83,5
84,6
85,4
86,6
87,6
88,6
89,6
90,5
91,6
92,1
93,6
94,4
95,2
96,6
97,4
98,2
99,6
100,6
101,6
102,6
103,3
104,3
105,5
106,4
107,3
108,3
109,6
110,1
111,6
112,4
113,2
114,3
115,4
116,6
117,2
118,5
119,3
120,1
121,4
122,2
123,4
124,6
125,5
126,1
127,4
128,5
129,4
130,5
131,5
132,5
133,3
134,4
135,4
136,1
137,6
138,6
139,5
140,2
141,2
142,4
143,5
144,2
145,5
146,6
147,2
148,5
149,1
150,6
151,4
152,2
153,4
154,4
155,2
156,2
157,3
158,6
159,6
160,6
161,6
162,1
163,2
164,1
165,6
166,6
167,4
168,5
169,6
170,6
171,1
172,6
173,6
174,2
175,6
176,5
177,4
178,6
179,2
180,5
181,1
182,6
183,6
184,4
185,6
186,3
187,2
188,5
189,3
190,2
191,5
192,4
193,5
194,4
195,2
196,3
197,6
198,6
199,2
200,5
201,2
202,6
203,1
204,5
205,6
206,5
207,6
208,5
209,2
210,5
211,6
212,6
213,6
214,6
215,1
216,1
217,2
218,6
219,6
220,5
221,3
222,1
223,2
224,6
225,6
226,2
227,6
228,6
229,6
230,4
231,6
232,6
233,1
234,3
235,6
236,6
237,3
238,1
239,4
240,6
241,5
242,5
243,1
244,5
245,5
246,4
247,2
248,5
249,4
250,5
251,1
252,6
253,4
254,1
255,3
256,1
257,2
258,3
259,6
260,5
261,4
262,6
263,2
264,4
265,5
266,3
267,5
268,1
269,6
270,2
271,3
272,1
273,1
274,6
275,2
276,6
277,1
278,5
279,1
280,1
281,2
282,4
283,3
284,1
285,5
286,2
287,1
288,2
289,2
290,5
291,2
292,2
293,4
294,1
295,6
296,3
297,3
298,4
299,2
300,5
301,6
302,4
303,2
304,1
305,5
306,4
307,1
308,6
309,4
310,5
311,3
312,3
313,2
314,3
315,1
316,5
317,6
318,1
319,5
320,3
321,6
322,6
323,3
324,1
325,3
326,5
327,1
328,3
329,4
330,6
331,1
332,2
333,4
334,1
335,5
336,5
337,1
338,6
339,4
340,2
341,6
342,1
343,4
344,5
345,3
346,2
347,3
348,1
349,2
350,2
351,5
352,3
353,6
354,5
355,5
356,6
357,1
358,1
359,6
360,3
361,2
362,5
363,5
364,3
365,3
366,4
367,4
368,4
369,6
370,2
371,4
372,5
373,6
374,2
375,3
376,4
377,2
378,6
379,1
380,1
381,6
382,4
383,6
384,6
385,1
386,6
387,6
388,3
389,6
390,6
391,6
392,1
393,1
394,6
395,6
396,6
397,6
398,4
399,4
400,3
401,6
402,3
403,1
404,3
405,6
406,2
407,2
408,6
409,3
410,6
411,6
412,6
413,2
414,4
415,1
416,2
417,3
418,4
419,3
420,6
421,5
422,4
423,5
424,6
425,6
426,3
427,2
428,6
429,5
430,6
431,6
432,5
433,6
434,6
435,6
436,4
437,6
438,6
439,3
440,6
441,4
442,5
443,6
444,6
445,6
446,5
447,3
448,6
449,4
450,3
451,5
452,3
453,6
454,1
455,4
456,3
457,4
458,5
459,4
460,5
461,5
462,6
463,2
464,3
465,6
466,1
467,6
468,4
469,2
470,1
471,3
472,5
473,6
474,4
475,1
476,4
477,6
478,2
479,6
480,6
481,6
482,5
483,6
484,6
485,1
486,6
487,4
488,6
489,6
490,2
491,6
492,6
493,6
494,3
495,1
496,3
497,6
498,1
499,3
